flag,name,links,payload
1,CS-253 Data Structures & Algorithms Fall 2023 Minor,https://lms.nust.edu.pk/portal/course/view.php?id=47828,47828
1,MATH243 Vector Calculus BEE-14 2K22 ABC,https://lms.nust.edu.pk/portal/course/view.php?id=47736,47736
1,EE221 Digital Logic Design BEE-14 2K22 AB,https://lms.nust.edu.pk/portal/course/view.php?id=47738,47738
1,CS212 Object Oriented Programming BEE-14 2K22 AB,https://lms.nust.edu.pk/portal/course/view.php?id=47740,47740
1,ME102 Thermodynamics BEE-14 2K22 A,https://lms.nust.edu.pk/portal/course/view.php?id=47742,47742
1,HU212 Technical  Business Writing BEE-14 2K22 ABCD,https://lms.nust.edu.pk/portal/course/view.php?id=47745,47745
0,HU109 Communications Skills BEE-14 2K22 ABC,https://lms.nust.edu.pk/portal/course/view.php?id=46010,46010
0,EE211 Electrical Network Analysis BEE-14 2K22 ABC,https://lms.nust.edu.pk/portal/course/view.php?id=46012,46012
0,ME109 Engineering Drawing BEE-14 2K22 AB,https://lms.nust.edu.pk/portal/course/view.php?id=46014,46014
0,HU107 Pakistan Studies BEE-14 2K22 ABCD,https://lms.nust.edu.pk/portal/course/view.php?id=46017,46017
0,MATH121 Linear Algebra and ODEs BEE-14 2K22 ABCD,https://lms.nust.edu.pk/portal/course/view.php?id=46018,46018
0,ME105 Workshop Practice BEE-14 2K22 ABCD,https://lms.nust.edu.pk/portal/course/view.php?id=46019,46019
0,ME100 Engineering Mechanics BEE-14 2K22 ABCD,https://lms.nust.edu.pk/portal/course/view.php?id=46020,46020
0,PHY102 Applied Physics BEE 2K22 ABCD,https://lms.nust.edu.pk/portal/course/view.php?id=43538,43538
0,MATH101 Calculus and Analytical Geometry BEE 2K22 ABC,https://lms.nust.edu.pk/portal/course/view.php?id=43539,43539
0,HU100 English BEE 2K22 ABC,https://lms.nust.edu.pk/portal/course/view.php?id=43541,43541
0,CS114 Fundamentals of Programming BEE 2K22 AB,https://lms.nust.edu.pk/portal/course/view.php?id=43543,43543
0,EE111 Linear Circuit Analysis BEE 2K22 A,https://lms.nust.edu.pk/portal/course/view.php?id=43545,43545
0,HU101 Islamic Studies BEE 2K22 ABCD,https://lms.nust.edu.pk/portal/course/view.php?id=43548,43548
